UserID,SessionID,Timestamp,EventType,ProductID,Amount,Outcome,composite_session_id
1000,1,2024-01-28 17:28:43.248189,logout,,,,1000_1
1000,1,2024-02-08 06:53:20.256345,login,,,,1000_1
1000,1,2024-02-28 15:19:27.880152,click,,,,1000_1
1000,1,2024-03-07 14:38:36.153885,product_view,prod_9691,,,1000_1
1000,1,2024-04-03 14:23:17.739008,logout,,,,1000_1
1000,1,2024-04-12 07:24:05.627744,click,,,,1000_1
1000,1,2024-05-09 09:15:36.590212,product_view,prod_4289,,,1000_1
1000,10,2024-01-12 15:56:53.525921,product_view,prod_4566,,,1000_10
1000,10,2024-02-09 02:58:56.128697,login,,,,1000_10
1000,10,2024-03-29 04:09:32.514318,logout,,,,1000_10
1000,10,2024-04-01 02:19:29.148727,logout,,,,1000_10
1000,10,2024-04-20 20:35:42.737664,purchase,prod_7326,248.26887159573485,purchase,1000_10
1000,10,2024-04-30 16:19:48.002633,purchase,prod_2515,198.75784924759543,purchase,1000_10
1000,10,2024-05-11 22:48:45.500117,purchase,prod_1238,186.208224835933,purchase,1000_10
1000,10,2024-07-13 15:30:59.991899,add_to_cart,prod_1899,,,1000_10
1000,2,2024-03-11 05:36:56.380303,product_view,prod_8490,,,1000_2
1000,2,2024-03-17 13:17:59.713351,click,,,,1000_2
1000,2,2024-03-28 14:31:53.930834,page_view,,,,1000_2
1000,2,2024-04-08 11:34:43.797606,product_view,prod_8374,,,1000_2
1000,2,2024-05-01 08:27:14.990122,click,,,,1000_2
1000,2,2024-06-14 15:55:37.630627,logout,,,,1000_2
1000,2,2024-06-17 18:01:24.684995,product_view,prod_5070,,,1000_2
1000,2,2024-07-11 12:40:44.578010,logout,,,,1000_2
1000,3,2024-01-09 23:22:02.582045,add_to_cart,prod_4371,,,1000_3
1000,3,2024-01-15 06:16:34.696737,product_view,prod_5993,,,1000_3
1000,3,2024-01-30 19:40:34.963706,product_view,prod_6110,,,1000_3
1000,3,2024-06-23 02:39:06.557404,login,,,,1000_3
1000,3,2024-07-03 12:39:30.757457,add_to_cart,prod_9019,,,1000_3
1000,3,2024-07-04 18:23:59.541936,login,,,,1000_3
1000,3,2024-07-10 09:34:52.379949,product_view,prod_7884,,,1000_3
1000,4,2024-01-07 23:49:08.108428,product_view,prod_7708,,,1000_4
1000,4,2024-01-22 21:31:30.049307,logout,,,,1000_4
1000,4,2024-01-23 07:13:21.706889,login,,,,1000_4
1000,4,2024-02-06 16:18:15.720791,click,,,,1000_4
1000,4,2024-02-27 11:13:59.611059,login,,,,1000_4
1000,4,2024-03-13 08:08:36.590141,page_view,,,,1000_4
1000,4,2024-04-14 00:54:34.242589,purchase,prod_5165,184.5400216248512,purchase,1000_4
1000,4,2024-05-08 01:21:05.826736,click,,,,1000_4
1000,4,2024-05-21 00:32:00.573214,product_view,prod_8392,,,1000_4
1000,4,2024-06-21 21:02:44.645186,logout,,,,1000_4
1000,5,2024-01-30 00:43:58.274145,purchase,prod_9796,478.6184593079041,purchase,1000_5
1000,5,2024-02-07 03:32:56.789999,login,,,,1000_5
1000,5,2024-04-28 20:55:05.352571,login,,,,1000_5
1000,5,2024-05-10 10:27:43.436056,add_to_cart,prod_7174,,,1000_5
1000,5,2024-05-19 03:19:41.033912,product_view,prod_8609,,,1000_5
1000,5,2024-05-29 22:14:02.463028,click,,,,1000_5
1000,5,2024-06-10 20:06:16.952413,add_to_cart,prod_8458,,,1000_5
1000,5,2024-06-16 17:39:32.163198,add_to_cart,prod_8970,,,1000_5
